sample_id	age	genotype	new_annotation	richness
D	6mos	WT	18_Cycling MHCII low	NA
D	6mos	WT	22_Pre-plasmablasts	6
262	6mos	WT	13_Follicular	5
262	6mos	WT	20_Ig-restricted	6
262	6mos	WT	3_Atypical CD21lowCD23low	19
262	6mos	WT	1_Marginal Zone	44
262	6mos	WT	0_Follicular	65
262	6mos	WT	9_Follicular Hspa1+	12
262	6mos	WT	5_Atypical Marginal Zone	24
262	6mos	WT	8_Age-associated/autoimmune	10
262	6mos	WT	11_Follicular	14
262	6mos	WT	2_Transitional (T2)	20
262	6mos	WT	24_Follicular	4
262	6mos	WT	6_Follicular	17
262	6mos	WT	4_Atypical CD21-CD23-	18
262	6mos	WT	22_Pre-plasmablasts	3
262	6mos	WT	10_Follicular IFN-stimulated	19
262	6mos	WT	7_Age-associated/autoimmune	9
262	6mos	WT	12_Follicular	12
262	6mos	WT	17_Ig-restricted	5
262	6mos	WT	27_Light Zone	5
262	6mos	WT	25_Ig-restricted	NA
262	6mos	WT	16_Other	NA
262	6mos	WT	23_Ig-restricted	5
262	6mos	WT	14_Follicular Serpina3+	5
262	6mos	WT	19_Cycling MHCII low	3
262	6mos	WT	21_Cycling MHCII low	NA
262	6mos	WT	15_Plasmablasts	9
262	6mos	WT	18_Cycling MHCII low	3
137	6mos	CD70-/-	0_Follicular	73
137	6mos	CD70-/-	1_Marginal Zone	90
137	6mos	CD70-/-	17_Ig-restricted	6
137	6mos	CD70-/-	6_Follicular	18
137	6mos	CD70-/-	9_Follicular Hspa1+	33
137	6mos	CD70-/-	5_Atypical Marginal Zone	12
137	6mos	CD70-/-	2_Transitional (T2)	48
137	6mos	CD70-/-	3_Atypical CD21lowCD23low	25
137	6mos	CD70-/-	8_Age-associated/autoimmune	10
137	6mos	CD70-/-	19_Cycling MHCII low	5
137	6mos	CD70-/-	22_Pre-plasmablasts	11
137	6mos	CD70-/-	13_Follicular	5
137	6mos	CD70-/-	11_Follicular	23
137	6mos	CD70-/-	7_Age-associated/autoimmune	23
137	6mos	CD70-/-	27_Light Zone	4
137	6mos	CD70-/-	21_Cycling MHCII low	4
137	6mos	CD70-/-	4_Atypical CD21-CD23-	31
137	6mos	CD70-/-	10_Follicular IFN-stimulated	18
137	6mos	CD70-/-	12_Follicular	22
137	6mos	CD70-/-	15_Plasmablasts	11
137	6mos	CD70-/-	14_Follicular Serpina3+	9
137	6mos	CD70-/-	16_Other	NA
137	6mos	CD70-/-	20_Ig-restricted	6
137	6mos	CD70-/-	24_Follicular	8
137	6mos	CD70-/-	18_Cycling MHCII low	12
137	6mos	CD70-/-	25_Ig-restricted	4
137	6mos	CD70-/-	23_Ig-restricted	NA
138	6mos	CD70-/-	8_Age-associated/autoimmune	10
138	6mos	CD70-/-	0_Follicular	61
138	6mos	CD70-/-	17_Ig-restricted	6
138	6mos	CD70-/-	23_Ig-restricted	5
138	6mos	CD70-/-	2_Transitional (T2)	33
138	6mos	CD70-/-	6_Follicular	12
138	6mos	CD70-/-	9_Follicular Hspa1+	27
138	6mos	CD70-/-	11_Follicular	17
138	6mos	CD70-/-	16_Other	3
138	6mos	CD70-/-	5_Atypical Marginal Zone	24
138	6mos	CD70-/-	4_Atypical CD21-CD23-	23
138	6mos	CD70-/-	12_Follicular	13
138	6mos	CD70-/-	13_Follicular	6
138	6mos	CD70-/-	3_Atypical CD21lowCD23low	18
138	6mos	CD70-/-	1_Marginal Zone	50
138	6mos	CD70-/-	7_Age-associated/autoimmune	14
138	6mos	CD70-/-	21_Cycling MHCII low	4
138	6mos	CD70-/-	22_Pre-plasmablasts	11
138	6mos	CD70-/-	10_Follicular IFN-stimulated	11
138	6mos	CD70-/-	14_Follicular Serpina3+	8
138	6mos	CD70-/-	20_Ig-restricted	8
138	6mos	CD70-/-	19_Cycling MHCII low	NA
138	6mos	CD70-/-	15_Plasmablasts	24
138	6mos	CD70-/-	27_Light Zone	4
138	6mos	CD70-/-	25_Ig-restricted	NA
138	6mos	CD70-/-	18_Cycling MHCII low	NA
138	6mos	CD70-/-	24_Follicular	3
140	6mos	CD70-/-	9_Follicular Hspa1+	50
140	6mos	CD70-/-	0_Follicular	155
140	6mos	CD70-/-	12_Follicular	30
140	6mos	CD70-/-	6_Follicular	28
140	6mos	CD70-/-	19_Cycling MHCII low	4
140	6mos	CD70-/-	3_Atypical CD21lowCD23low	40
140	6mos	CD70-/-	1_Marginal Zone	104
140	6mos	CD70-/-	16_Other	6
140	6mos	CD70-/-	10_Follicular IFN-stimulated	29
140	6mos	CD70-/-	4_Atypical CD21-CD23-	18
140	6mos	CD70-/-	13_Follicular	14
140	6mos	CD70-/-	11_Follicular	15
140	6mos	CD70-/-	2_Transitional (T2)	103
140	6mos	CD70-/-	5_Atypical Marginal Zone	25
140	6mos	CD70-/-	23_Ig-restricted	16
140	6mos	CD70-/-	8_Age-associated/autoimmune	12
140	6mos	CD70-/-	21_Cycling MHCII low	3
140	6mos	CD70-/-	20_Ig-restricted	18
140	6mos	CD70-/-	18_Cycling MHCII low	8
140	6mos	CD70-/-	17_Ig-restricted	9
140	6mos	CD70-/-	24_Follicular	10
140	6mos	CD70-/-	25_Ig-restricted	10
140	6mos	CD70-/-	7_Age-associated/autoimmune	11
140	6mos	CD70-/-	15_Plasmablasts	9
140	6mos	CD70-/-	14_Follicular Serpina3+	5
140	6mos	CD70-/-	22_Pre-plasmablasts	4
140	6mos	CD70-/-	27_Light Zone	9
141	6mos	CD70-/-	4_Atypical CD21-CD23-	41
141	6mos	CD70-/-	0_Follicular	177
141	6mos	CD70-/-	2_Transitional (T2)	75
141	6mos	CD70-/-	1_Marginal Zone	84
141	6mos	CD70-/-	13_Follicular	13
141	6mos	CD70-/-	6_Follicular	42
141	6mos	CD70-/-	9_Follicular Hspa1+	90
141	6mos	CD70-/-	10_Follicular IFN-stimulated	35
141	6mos	CD70-/-	19_Cycling MHCII low	4
141	6mos	CD70-/-	3_Atypical CD21lowCD23low	41
141	6mos	CD70-/-	5_Atypical Marginal Zone	37
141	6mos	CD70-/-	17_Ig-restricted	11
141	6mos	CD70-/-	12_Follicular	35
141	6mos	CD70-/-	27_Light Zone	6
141	6mos	CD70-/-	25_Ig-restricted	5
141	6mos	CD70-/-	11_Follicular	29
141	6mos	CD70-/-	24_Follicular	14
141	6mos	CD70-/-	14_Follicular Serpina3+	8
141	6mos	CD70-/-	7_Age-associated/autoimmune	20
141	6mos	CD70-/-	22_Pre-plasmablasts	NA
141	6mos	CD70-/-	16_Other	3
141	6mos	CD70-/-	8_Age-associated/autoimmune	15
141	6mos	CD70-/-	20_Ig-restricted	19
141	6mos	CD70-/-	18_Cycling MHCII low	7
141	6mos	CD70-/-	15_Plasmablasts	11
141	6mos	CD70-/-	23_Ig-restricted	10
141	6mos	CD70-/-	21_Cycling MHCII low	3
110	6mos	CD70-/-	0_Follicular	171
110	6mos	CD70-/-	9_Follicular Hspa1+	63
110	6mos	CD70-/-	24_Follicular	8
110	6mos	CD70-/-	11_Follicular	45
110	6mos	CD70-/-	7_Age-associated/autoimmune	7
110	6mos	CD70-/-	4_Atypical CD21-CD23-	29
110	6mos	CD70-/-	8_Age-associated/autoimmune	9
110	6mos	CD70-/-	10_Follicular IFN-stimulated	42
110	6mos	CD70-/-	1_Marginal Zone	92
110	6mos	CD70-/-	15_Plasmablasts	8
110	6mos	CD70-/-	12_Follicular	25
110	6mos	CD70-/-	20_Ig-restricted	28
110	6mos	CD70-/-	23_Ig-restricted	15
110	6mos	CD70-/-	2_Transitional (T2)	111
110	6mos	CD70-/-	3_Atypical CD21lowCD23low	42
110	6mos	CD70-/-	6_Follicular	21
110	6mos	CD70-/-	25_Ig-restricted	9
110	6mos	CD70-/-	16_Other	8
110	6mos	CD70-/-	13_Follicular	10
110	6mos	CD70-/-	5_Atypical Marginal Zone	25
110	6mos	CD70-/-	14_Follicular Serpina3+	4
110	6mos	CD70-/-	17_Ig-restricted	19
110	6mos	CD70-/-	27_Light Zone	14
110	6mos	CD70-/-	18_Cycling MHCII low	5
110	6mos	CD70-/-	19_Cycling MHCII low	3
110	6mos	CD70-/-	21_Cycling MHCII low	NA
110	6mos	CD70-/-	22_Pre-plasmablasts	NA
111	6mos	CD70-/-	0_Follicular	212
111	6mos	CD70-/-	1_Marginal Zone	99
111	6mos	CD70-/-	6_Follicular	44
111	6mos	CD70-/-	2_Transitional (T2)	99
111	6mos	CD70-/-	8_Age-associated/autoimmune	22
111	6mos	CD70-/-	13_Follicular	16
111	6mos	CD70-/-	11_Follicular	29
111	6mos	CD70-/-	10_Follicular IFN-stimulated	27
111	6mos	CD70-/-	4_Atypical CD21-CD23-	21
111	6mos	CD70-/-	3_Atypical CD21lowCD23low	48
111	6mos	CD70-/-	5_Atypical Marginal Zone	33
111	6mos	CD70-/-	16_Other	NA
111	6mos	CD70-/-	12_Follicular	32
111	6mos	CD70-/-	25_Ig-restricted	8
111	6mos	CD70-/-	23_Ig-restricted	12
111	6mos	CD70-/-	15_Plasmablasts	30
111	6mos	CD70-/-	27_Light Zone	5
111	6mos	CD70-/-	14_Follicular Serpina3+	12
111	6mos	CD70-/-	21_Cycling MHCII low	7
111	6mos	CD70-/-	24_Follicular	16
111	6mos	CD70-/-	17_Ig-restricted	8
111	6mos	CD70-/-	20_Ig-restricted	22
111	6mos	CD70-/-	18_Cycling MHCII low	7
111	6mos	CD70-/-	7_Age-associated/autoimmune	22
111	6mos	CD70-/-	9_Follicular Hspa1+	17
111	6mos	CD70-/-	19_Cycling MHCII low	3
111	6mos	CD70-/-	22_Pre-plasmablasts	3
158	6mos	Bcl6tg/+	6_Follicular	59
158	6mos	Bcl6tg/+	2_Transitional (T2)	131
158	6mos	Bcl6tg/+	7_Age-associated/autoimmune	23
158	6mos	Bcl6tg/+	9_Follicular Hspa1+	49
158	6mos	Bcl6tg/+	0_Follicular	197
158	6mos	Bcl6tg/+	27_Light Zone	13
158	6mos	Bcl6tg/+	20_Ig-restricted	16
158	6mos	Bcl6tg/+	4_Atypical CD21-CD23-	38
158	6mos	Bcl6tg/+	23_Ig-restricted	20
158	6mos	Bcl6tg/+	14_Follicular Serpina3+	10
158	6mos	Bcl6tg/+	13_Follicular	11
158	6mos	Bcl6tg/+	3_Atypical CD21lowCD23low	44
158	6mos	Bcl6tg/+	10_Follicular IFN-stimulated	25
158	6mos	Bcl6tg/+	12_Follicular	33
158	6mos	Bcl6tg/+	11_Follicular	37
158	6mos	Bcl6tg/+	17_Ig-restricted	16
158	6mos	Bcl6tg/+	16_Other	8
158	6mos	Bcl6tg/+	8_Age-associated/autoimmune	14
158	6mos	Bcl6tg/+	19_Cycling MHCII low	5
158	6mos	Bcl6tg/+	1_Marginal Zone	80
158	6mos	Bcl6tg/+	22_Pre-plasmablasts	6
158	6mos	Bcl6tg/+	24_Follicular	16
158	6mos	Bcl6tg/+	18_Cycling MHCII low	4
158	6mos	Bcl6tg/+	25_Ig-restricted	13
158	6mos	Bcl6tg/+	5_Atypical Marginal Zone	16
158	6mos	Bcl6tg/+	15_Plasmablasts	9
159	6mos	Bcl6tg/+	1_Marginal Zone	92
159	6mos	Bcl6tg/+	0_Follicular	226
159	6mos	Bcl6tg/+	14_Follicular Serpina3+	8
159	6mos	Bcl6tg/+	16_Other	5
159	6mos	Bcl6tg/+	6_Follicular	42
159	6mos	Bcl6tg/+	24_Follicular	10
159	6mos	Bcl6tg/+	10_Follicular IFN-stimulated	32
159	6mos	Bcl6tg/+	3_Atypical CD21lowCD23low	29
159	6mos	Bcl6tg/+	11_Follicular	35
159	6mos	Bcl6tg/+	12_Follicular	32
159	6mos	Bcl6tg/+	17_Ig-restricted	13
159	6mos	Bcl6tg/+	20_Ig-restricted	17
159	6mos	Bcl6tg/+	25_Ig-restricted	5
159	6mos	Bcl6tg/+	2_Transitional (T2)	103
159	6mos	Bcl6tg/+	4_Atypical CD21-CD23-	22
159	6mos	Bcl6tg/+	13_Follicular	15
159	6mos	Bcl6tg/+	19_Cycling MHCII low	NA
159	6mos	Bcl6tg/+	23_Ig-restricted	13
159	6mos	Bcl6tg/+	18_Cycling MHCII low	4
159	6mos	Bcl6tg/+	7_Age-associated/autoimmune	19
159	6mos	Bcl6tg/+	5_Atypical Marginal Zone	20
159	6mos	Bcl6tg/+	9_Follicular Hspa1+	33
159	6mos	Bcl6tg/+	15_Plasmablasts	7
159	6mos	Bcl6tg/+	8_Age-associated/autoimmune	10
159	6mos	Bcl6tg/+	21_Cycling MHCII low	NA
159	6mos	Bcl6tg/+	27_Light Zone	10
159	6mos	Bcl6tg/+	22_Pre-plasmablasts	3
160	6mos	Bcl6tg/+	12_Follicular	30
160	6mos	Bcl6tg/+	23_Ig-restricted	16
160	6mos	Bcl6tg/+	11_Follicular	32
160	6mos	Bcl6tg/+	6_Follicular	49
160	6mos	Bcl6tg/+	0_Follicular	152
160	6mos	Bcl6tg/+	1_Marginal Zone	74
160	6mos	Bcl6tg/+	8_Age-associated/autoimmune	21
160	6mos	Bcl6tg/+	4_Atypical CD21-CD23-	31
160	6mos	Bcl6tg/+	3_Atypical CD21lowCD23low	38
160	6mos	Bcl6tg/+	10_Follicular IFN-stimulated	35
160	6mos	Bcl6tg/+	14_Follicular Serpina3+	7
160	6mos	Bcl6tg/+	9_Follicular Hspa1+	84
160	6mos	Bcl6tg/+	20_Ig-restricted	27
160	6mos	Bcl6tg/+	19_Cycling MHCII low	3
160	6mos	Bcl6tg/+	5_Atypical Marginal Zone	28
160	6mos	Bcl6tg/+	24_Follicular	9
160	6mos	Bcl6tg/+	13_Follicular	9
160	6mos	Bcl6tg/+	17_Ig-restricted	12
160	6mos	Bcl6tg/+	27_Light Zone	7
160	6mos	Bcl6tg/+	2_Transitional (T2)	126
160	6mos	Bcl6tg/+	16_Other	3
160	6mos	Bcl6tg/+	18_Cycling MHCII low	5
160	6mos	Bcl6tg/+	7_Age-associated/autoimmune	18
160	6mos	Bcl6tg/+	25_Ig-restricted	9
160	6mos	Bcl6tg/+	21_Cycling MHCII low	NA
160	6mos	Bcl6tg/+	22_Pre-plasmablasts	NA
160	6mos	Bcl6tg/+	15_Plasmablasts	6
161	6mos	Bcl6tg/+	2_Transitional (T2)	90
161	6mos	Bcl6tg/+	14_Follicular Serpina3+	10
161	6mos	Bcl6tg/+	1_Marginal Zone	79
161	6mos	Bcl6tg/+	0_Follicular	114
161	6mos	Bcl6tg/+	10_Follicular IFN-stimulated	36
161	6mos	Bcl6tg/+	3_Atypical CD21lowCD23low	43
161	6mos	Bcl6tg/+	12_Follicular	23
161	6mos	Bcl6tg/+	5_Atypical Marginal Zone	26
161	6mos	Bcl6tg/+	6_Follicular	24
161	6mos	Bcl6tg/+	20_Ig-restricted	12
161	6mos	Bcl6tg/+	11_Follicular	23
161	6mos	Bcl6tg/+	8_Age-associated/autoimmune	14
161	6mos	Bcl6tg/+	9_Follicular Hspa1+	30
161	6mos	Bcl6tg/+	7_Age-associated/autoimmune	18
161	6mos	Bcl6tg/+	4_Atypical CD21-CD23-	37
161	6mos	Bcl6tg/+	23_Ig-restricted	6
161	6mos	Bcl6tg/+	24_Follicular	10
161	6mos	Bcl6tg/+	18_Cycling MHCII low	4
161	6mos	Bcl6tg/+	27_Light Zone	6
161	6mos	Bcl6tg/+	17_Ig-restricted	6
161	6mos	Bcl6tg/+	15_Plasmablasts	8
161	6mos	Bcl6tg/+	16_Other	4
161	6mos	Bcl6tg/+	25_Ig-restricted	5
161	6mos	Bcl6tg/+	19_Cycling MHCII low	8
161	6mos	Bcl6tg/+	13_Follicular	11
161	6mos	Bcl6tg/+	22_Pre-plasmablasts	NA
161	6mos	Bcl6tg/+	21_Cycling MHCII low	NA
032	6mos	Bcl6tg/+	22_Pre-plasmablasts	NA
032	6mos	Bcl6tg/+	0_Follicular	252
032	6mos	Bcl6tg/+	2_Transitional (T2)	121
032	6mos	Bcl6tg/+	11_Follicular	53
032	6mos	Bcl6tg/+	14_Follicular Serpina3+	11
032	6mos	Bcl6tg/+	1_Marginal Zone	121
032	6mos	Bcl6tg/+	6_Follicular	60
032	6mos	Bcl6tg/+	10_Follicular IFN-stimulated	58
032	6mos	Bcl6tg/+	20_Ig-restricted	29
032	6mos	Bcl6tg/+	9_Follicular Hspa1+	25
032	6mos	Bcl6tg/+	17_Ig-restricted	16
032	6mos	Bcl6tg/+	8_Age-associated/autoimmune	14
032	6mos	Bcl6tg/+	25_Ig-restricted	9
032	6mos	Bcl6tg/+	27_Light Zone	7
032	6mos	Bcl6tg/+	23_Ig-restricted	15
032	6mos	Bcl6tg/+	12_Follicular	43
032	6mos	Bcl6tg/+	5_Atypical Marginal Zone	30
032	6mos	Bcl6tg/+	3_Atypical CD21lowCD23low	48
032	6mos	Bcl6tg/+	16_Other	11
032	6mos	Bcl6tg/+	4_Atypical CD21-CD23-	43
032	6mos	Bcl6tg/+	24_Follicular	18
032	6mos	Bcl6tg/+	13_Follicular	8
032	6mos	Bcl6tg/+	7_Age-associated/autoimmune	27
032	6mos	Bcl6tg/+	21_Cycling MHCII low	3
032	6mos	Bcl6tg/+	15_Plasmablasts	9
032	6mos	Bcl6tg/+	18_Cycling MHCII low	3
032	6mos	Bcl6tg/+	19_Cycling MHCII low	4
033	6mos	Bcl6tg/+	17_Ig-restricted	17
033	6mos	Bcl6tg/+	0_Follicular	228
033	6mos	Bcl6tg/+	1_Marginal Zone	89
033	6mos	Bcl6tg/+	8_Age-associated/autoimmune	10
033	6mos	Bcl6tg/+	11_Follicular	44
033	6mos	Bcl6tg/+	3_Atypical CD21lowCD23low	44
033	6mos	Bcl6tg/+	9_Follicular Hspa1+	48
033	6mos	Bcl6tg/+	10_Follicular IFN-stimulated	29
033	6mos	Bcl6tg/+	16_Other	7
033	6mos	Bcl6tg/+	14_Follicular Serpina3+	6
033	6mos	Bcl6tg/+	4_Atypical CD21-CD23-	34
033	6mos	Bcl6tg/+	2_Transitional (T2)	107
033	6mos	Bcl6tg/+	24_Follicular	8
033	6mos	Bcl6tg/+	20_Ig-restricted	27
033	6mos	Bcl6tg/+	12_Follicular	31
033	6mos	Bcl6tg/+	6_Follicular	40
033	6mos	Bcl6tg/+	23_Ig-restricted	17
033	6mos	Bcl6tg/+	25_Ig-restricted	8
033	6mos	Bcl6tg/+	13_Follicular	12
033	6mos	Bcl6tg/+	19_Cycling MHCII low	5
033	6mos	Bcl6tg/+	7_Age-associated/autoimmune	14
033	6mos	Bcl6tg/+	27_Light Zone	9
033	6mos	Bcl6tg/+	21_Cycling MHCII low	3
033	6mos	Bcl6tg/+	5_Atypical Marginal Zone	15
033	6mos	Bcl6tg/+	15_Plasmablasts	5
033	6mos	Bcl6tg/+	18_Cycling MHCII low	5
033	6mos	Bcl6tg/+	22_Pre-plasmablasts	3
145	6mos	CD70-/-;Bcl6tg/+	2_Transitional (T2)	24
145	6mos	CD70-/-;Bcl6tg/+	12_Follicular	19
145	6mos	CD70-/-;Bcl6tg/+	5_Atypical Marginal Zone	27
145	6mos	CD70-/-;Bcl6tg/+	16_Other	3
145	6mos	CD70-/-;Bcl6tg/+	7_Age-associated/autoimmune	34
145	6mos	CD70-/-;Bcl6tg/+	1_Marginal Zone	50
145	6mos	CD70-/-;Bcl6tg/+	18_Cycling MHCII low	9
145	6mos	CD70-/-;Bcl6tg/+	15_Plasmablasts	16
145	6mos	CD70-/-;Bcl6tg/+	0_Follicular	81
145	6mos	CD70-/-;Bcl6tg/+	9_Follicular Hspa1+	19
145	6mos	CD70-/-;Bcl6tg/+	10_Follicular IFN-stimulated	25
145	6mos	CD70-/-;Bcl6tg/+	8_Age-associated/autoimmune	28
145	6mos	CD70-/-;Bcl6tg/+	25_Ig-restricted	3
145	6mos	CD70-/-;Bcl6tg/+	4_Atypical CD21-CD23-	41
145	6mos	CD70-/-;Bcl6tg/+	24_Follicular	5
145	6mos	CD70-/-;Bcl6tg/+	17_Ig-restricted	5
145	6mos	CD70-/-;Bcl6tg/+	14_Follicular Serpina3+	25
145	6mos	CD70-/-;Bcl6tg/+	6_Follicular	20
145	6mos	CD70-/-;Bcl6tg/+	3_Atypical CD21lowCD23low	21
145	6mos	CD70-/-;Bcl6tg/+	19_Cycling MHCII low	9
145	6mos	CD70-/-;Bcl6tg/+	13_Follicular	14
145	6mos	CD70-/-;Bcl6tg/+	11_Follicular	17
145	6mos	CD70-/-;Bcl6tg/+	20_Ig-restricted	6
145	6mos	CD70-/-;Bcl6tg/+	22_Pre-plasmablasts	17
145	6mos	CD70-/-;Bcl6tg/+	23_Ig-restricted	4
145	6mos	CD70-/-;Bcl6tg/+	21_Cycling MHCII low	6
145	6mos	CD70-/-;Bcl6tg/+	27_Light Zone	3
146	6mos	CD70-/-;Bcl6tg/+	23_Ig-restricted	12
146	6mos	CD70-/-;Bcl6tg/+	12_Follicular	29
146	6mos	CD70-/-;Bcl6tg/+	0_Follicular	162
146	6mos	CD70-/-;Bcl6tg/+	2_Transitional (T2)	38
146	6mos	CD70-/-;Bcl6tg/+	14_Follicular Serpina3+	30
146	6mos	CD70-/-;Bcl6tg/+	1_Marginal Zone	83
146	6mos	CD70-/-;Bcl6tg/+	6_Follicular	39
146	6mos	CD70-/-;Bcl6tg/+	16_Other	4
146	6mos	CD70-/-;Bcl6tg/+	4_Atypical CD21-CD23-	32
146	6mos	CD70-/-;Bcl6tg/+	5_Atypical Marginal Zone	29
146	6mos	CD70-/-;Bcl6tg/+	10_Follicular IFN-stimulated	31
146	6mos	CD70-/-;Bcl6tg/+	3_Atypical CD21lowCD23low	41
146	6mos	CD70-/-;Bcl6tg/+	13_Follicular	9
146	6mos	CD70-/-;Bcl6tg/+	9_Follicular Hspa1+	40
146	6mos	CD70-/-;Bcl6tg/+	11_Follicular	20
146	6mos	CD70-/-;Bcl6tg/+	15_Plasmablasts	10
146	6mos	CD70-/-;Bcl6tg/+	17_Ig-restricted	10
146	6mos	CD70-/-;Bcl6tg/+	8_Age-associated/autoimmune	14
146	6mos	CD70-/-;Bcl6tg/+	20_Ig-restricted	14
